model,signal_type,precision,recall,f1_score,auc_roc,pr_auc,accuracy,true_anomalies,predicted_anomalies,total_samples,train_time_s,fold,threshold,best_hyperparams
CNN1D_AE,metrics,0.4124,1.0,0.5839,0.2324,0.3986,0.4124,31186,75629,75629,900.52,2,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,metrics,0.4124,1.0,0.5839,0.173,0.3185,0.4124,31186,75629,75629,2124.55,2,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,logs,0.4844,0.677,0.5647,0.6323,0.5418,0.5896,4099,5729,10424,28.73,3,0.09,"{'n_estimators': 350, 'contamination': 0.10913016089144635, 'max_features': 0.5102922471479012, 'max_samples': 0.9849549260809971}"
OneClassSVM,logs,0.4034,0.9317,0.563,0.586,0.5304,0.4312,4099,9468,10424,12.92,3,0.04,"{'kernel': 'rbf', 'nu': 0.044846856872152424, 'gamma': 'auto'}"
LSTM_AE,logs,0.3922,1.0,0.5635,0.2869,0.4426,0.3922,4082,10407,10407,769.3,3,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,logs,0.3922,1.0,0.5635,0.2926,0.467,0.3922,4082,10407,10407,1912.67,3,0.01,"{'d_model': 64, 'nhead': 2, 'n_layers': 1, 'lr': 0.005625729165455617, 'dropout': 0.11209066070459422, 'epochs': 100}"
CNN1D_AE,logs,0.3922,1.0,0.5635,0.4038,0.5221,0.3922,4082,10407,10407,594.73,3,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,logs,0.3922,1.0,0.5635,0.2805,0.4443,0.3922,4082,10407,10407,587.1,3,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,traces,0.2658,0.8307,0.4027,0.532,0.3472,0.349,3036,9489,11491,29.94,3,0.01,"{'n_estimators': 100, 'contamination': 0.03183923284706837, 'max_features': 0.5290418060840998, 'max_samples': 0.9330880728874675}"
OneClassSVM,traces,0.2641,0.9951,0.4175,0.5195,0.3061,0.2663,3036,11437,11491,19.3,3,0.02,"{'kernel': 'rbf', 'nu': 0.044846856872152424, 'gamma': 'auto'}"
